iter	Logloss
0	0.3890875397
1	0.24471489
2	0.1628838912
3	0.1085975838
4	0.07391873873
5	0.05060051679
6	0.03512056068
7	0.02466921605
8	0.01765340185
9	0.01261944404
10	0.009237820378
11	0.007065710761
12	0.005502786975
13	0.004388316337
14	0.003890324763
15	0.003299717157
16	0.002779205033
17	0.002555537166
18	0.002358501894
19	0.002237029249
20	0.002048328994
21	0.00196015637
22	0.001778998549
23	0.001669829551
24	0.001611352861
25	0.001549109103
26	0.001426653721
27	0.001415254774
28	0.001358311653
29	0.001286500353
30	0.001271839725
31	0.001235824621
32	0.001213864432
33	0.00117398645
34	0.001148294495
35	0.001116148877
36	0.001088099727
37	0.001062398976
38	0.001038544187
39	0.001017216709
40	0.0009975559753
41	0.0009774389773
42	0.0009587508059
43	0.0009427914437
44	0.000928293916
45	0.0009147031052
46	0.0009025270718
47	0.0008915493016
48	0.0008755053632
49	0.000865992785
50	0.0008520352094
51	0.0007305169427
52	0.0007090614359
53	0.0007009715745
54	0.0006840497664
55	0.000673884358
56	0.0005957337296
57	0.0005848400626
58	0.0005767046593
59	0.0005677521806
60	0.0005606390423
61	0.0005312304742
62	0.0005256686555
63	0.0005205572092
64	0.0005159853747
65	0.0005116501199
66	0.0005059197714
67	0.0005006309371
68	0.0004967463377
69	0.0004920055604
70	0.0004875481546
71	0.0004834294101
72	0.0004537122661
73	0.0004503503076
74	0.0004472287056
75	0.000444378297
76	0.0004416948768
77	0.0004389404391
78	0.0004366628384
79	0.0004220416793
80	0.0004189444168
81	0.0004154570991
82	0.0003772627665
83	0.0003742494456
84	0.0003715105564
85	0.0003688440811
86	0.0003663909364
87	0.0003638882434
88	0.0003618959269
89	0.0003576357436
90	0.0003559975528
91	0.0003522518901
92	0.0003503697409
93	0.0003489023552
94	0.0003455124172
95	0.0003433089887
96	0.0003402224175
97	0.0003190605244
98	0.0003171858962
99	0.0003164513983
